"SUBJID","COUNTRY_SELF"
29324,"Italy"
29246,"Italy"
42164,"Italy"
7889,"Italy"
22492,"Italy"
36156,"Kosovo"
29244,"Kosovo"
35911,"Kosovo"
4591,"Kosovo"
3423,"Kosovo"
41211,"Kosovo"
12598,"Kosovo"
7993,"Kosovo"
7615,"Kosovo"
6220,"Kosovo"
17761,"Kosovo"
15054,"Kosovo"
38422,"Kosovo"
13595,"Kosovo"
43068,"Kosovo"
28527,"Latvia"
47449,"Macedonia"
37392,"Macedonia"
5144,"Macedonia"
45591,"Macedonia"
6610,"Montenegro"
11768,"Netherlands"
45816,"Netherlands"
35903,"Netherlands"
5292,"Netherlands"
27095,"Netherlands"
37302,"Netherlands"
22173,"Netherlands"
22826,"Netherlands"
43479,"Netherlands"
44717,"Netherlands"
22882,"Netherlands"
18599,"Netherlands"
46270,"Netherlands"
24226,"Netherlands"
39575,"Netherlands"
37108,"Netherlands"
16821,"Netherlands"
25490,"Norway"
45124,"Norway"
11063,"Poland"
1533,"Poland"
4562,"Poland"
11594,"Poland"
14504,"Poland"
49350,"Poland"
6346,"Poland"
5570,"Poland"
11215,"Poland"
39348,"Poland"
43488,"Poland"
17198,"Poland"
21199,"Poland"
25065,"Poland"
21938,"Poland"
48930,"Poland"
3813,"Poland"
35270,"Poland"
13731,"Poland"
30993,"Poland"
41540,"Poland"
18305,"Poland"
12777,"Portugal"
32913,"Portugal"
35924,"Portugal"
15007,"Portugal"
23997,"Portugal"
32995,"Portugal"
43476,"Portugal"
10564,"Portugal"
9909,"Portugal"
40872,"Portugal"
13735,"Portugal"
36863,"Portugal"
9350,"Portugal"
48917,"Portugal"
22502,"Portugal"
19178,"Portugal"
29401,"Portugal"
29355,"Portugal"
10172,"Portugal"
14631,"Portugal"
35569,"Portugal"
41906,"Portugal"
37305,"Portugal"
13874,"Portugal"
20579,"Portugal"
9333,"Portugal"
36092,"Portugal"
27891,"Portugal"
32699,"Portugal"
27275,"Portugal"
46193,"Portugal"
21720,"Portugal"
28746,"Portugal"
44112,"Portugal"
34203,"Portugal"
40420,"Portugal"
24622,"Portugal"
48344,"Portugal"
32069,"Portugal"
18256,"Portugal"
18090,"Portugal"
16893,"Portugal"
47391,"Portugal"
23037,"Portugal"
14959,"Portugal"
23670,"Portugal"
46217,"Portugal"
29096,"Portugal"
43169,"Portugal"
48452,"Portugal"
45997,"Portugal"
8251,"Portugal"
34335,"Portugal"
35142,"Portugal"
29804,"Portugal"
41150,"Portugal"
6462,"Portugal"
23830,"Portugal"
38602,"Portugal"
13551,"Portugal"
24807,"Portugal"
4362,"Portugal"
38518,"Portugal"
49506,"Portugal"
20175,"Portugal"
17418,"Portugal"
9671,"Portugal"
7405,"Portugal"
39038,"Portugal"
49663,"Portugal"
47661,"Portugal"
27994,"Portugal"
28361,"Portugal"
3439,"Portugal"
40033,"Portugal"
31680,"Portugal"
14498,"Portugal"
3444,"Portugal"
5355,"Portugal"
47252,"Portugal"
29455,"Portugal"
18738,"Portugal"
45451,"Portugal"
47959,"Portugal"
34958,"Portugal"
12221,"Portugal"
48478,"Portugal"
14662,"Portugal"
4129,"Portugal"
18028,"Portugal"
35446,"Portugal"
3698,"Portugal"
17870,"Portugal"
31744,"Portugal"
27770,"Portugal"
30287,"Portugal"
6094,"Portugal"
27155,"Portugal"
30426,"Portugal"
30436,"Portugal"
31467,"Portugal"
45988,"Portugal"
9389,"Portugal"
11150,"Portugal"
34266,"Portugal"
24020,"Portugal"
22464,"Portugal"
22325,"Portugal"
17665,"Portugal"
46614,"Portugal"
5349,"Portugal"
13725,"Portugal"
8961,"Portugal"
1168,"Portugal"
19105,"Portugal"
27050,"Romania"
931,"Romania"
21278,"Romania"
45132,"Romania"
5173,"Romania"
18965,"Romania"
14621,"Romania"
35236,"Romania"
2316,"Romania"
17215,"Romania"
32016,"Romania"
36710,"Romania"
25506,"Romania"
22501,"Romania"
14511,"Russia"
14700,"Russia"
27821,"Russia"
4181,"Russia"
39127,"Russia"
18338,"Russia"
35697,"Scotland"
29887,"Scotland"
18492,"Scotland"
34848,"Scotland"
42160,"Scotland"
25579,"Serbia"
18051,"Serbia"
46976,"Serbia"
42999,"Serbia"
23640,"Serbia"
48688,"Serbia"
27927,"Serbia"
12152,"Serbia"
42445,"Serbia"
43579,"Serbia"
19823,"Serbia"
36603,"Slovakia"
8797,"Slovenia"
13842,"Slovenia"
7368,"Spain"
19787,"Spain"
45732,"Spain"
4671,"Spain"
6575,"Spain"
18101,"Spain"
46569,"Spain"
24518,"Spain"
32289,"Spain"
47979,"Spain"
38808,"Spain"
49410,"Spain"
41099,"Spain"
30416,"Spain"
1142,"Spain"
44664,"Spain"
46719,"Spain"
10448,"Spain"
42309,"Spain"
33401,"Spain"
40573,"Spain"
13799,"Spain"
29988,"Spain"
20069,"Spain"
5313,"Spain"
22885,"Spain"
32509,"Spain"
1194,"Spain"
48320,"Spain"
41654,"Spain"
25812,"Spain"
12943,"Spain"
49271,"Spain"
5127,"Spain"
15491,"Spain"
40975,"Spain"
49268,"Spain"
5306,"Spain"
25421,"Spain"
36178,"Spain"
36730,"Spain"
14777,"Spain"
49167,"Spain"
32936,"Spain"
25678,"Spain"
26363,"Spain"
38689,"Spain"
2692,"Spain"
16612,"Spain"
40507,"Spain"
26200,"Spain"
29407,"Spain"
17388,"Spain"
31876,"Spain"
13690,"Spain"
5094,"Spain"
9119,"Spain"
11578,"Spain"
40548,"Spain"
17772,"Spain"
40835,"Spain"
23676,"Spain"
35087,"Spain"
40966,"Spain"
11244,"Spain"
14841,"Spain"
43317,"Spain"
30071,"Spain"
35334,"Spain"
26008,"Spain"
47285,"Spain"
46891,"Spain"
638,"Spain"
